Time,Camara,Temp,Reciclo,API,CCN,Rend
06-ene-20,0.606830748298056,494.711366395281,1.08939524852793,5.99182319641113,24.0505619049072,77.0441433132651
07-ene-20,0.613277698269654,494.042788084718,1.10811912239698,5.86981534957885,24.3367137908935,75.8892236508557
08-ene-20,0.613277698269654,494.042788084718,1.10811912239698,5.59127616882324,24.9563941955566,75.8892236508557
09-ene-20,0.608765923436568,493.658586107166,1.13388948529056,5.35148811340332,25.4463443756103,76.9775263097389
10-ene-20,0.613281904722964,493.007155309886,1.06973112350333,5.17897701263427,25.8563518524169,72.573456196613
11-ene-20,0.607202579553091,493.239060398502,1.02986109093898,5.08458566665649,26.3612518310546,71.8320526761265
12-ene-20,0.643294396280887,493.205189848419,1.02920243108681,4.8187289237976,26.663215637207,73.8707021564555
13-ene-20,0.637662829854172,493.05731180776,1.04025784398818,5.18266153335571,25.682466506958,74.1122229269388
14-ene-20,0.628391767775905,492.836937001955,1.03663507105491,5.33167743682861,25.3504390716552,75.3140654306928
15-ene-20,0.649996434075875,492.564599120152,1.03507940103652,5.33792781829833,25.3392009735107,75.5342167070615
16-ene-20,0.665315999079449,492.291218690457,1.03753224947536,4.81093835830688,26.3078842163085,76.3903731367544
17-ene-20,0.661457565131049,492.292577694525,1.02644461168371,4.42218923568725,27.0316982269287,75.311204491327
18-ene-20,0.617880821076572,492.780750177805,1.04117861743258,4.28827047348022,27.2874107360839,78.3675897717563
19-ene-20,0.648101084298751,492.870677646186,1.03549551447279,4.30656242370605,27.250259399414,78.181919460419
20-ene-20,0.690469819523608,492.51013081502,1.02502903251031,4.30058765411376,27.2823944091796,77.2309941839395
21-ene-20,0.638674887211113,492.478950559818,1.03747304419505,4.2748475074768,27.3695678710937,77.960466543899
22-ene-20,0.655645516122494,492.273292398082,1.02484701247973,4.24058580398559,27.3999996185302,75.9118495131747
23-ene-20,0.665758195125767,492.462296374783,1.03894658692741,4.23004579544067,27.4203243255615,76.4579282495141
24-ene-20,0.690086706201837,492.488483228278,1.02810499357626,4.2559118270874,27.3708381652832,77.1875973359586
25-ene-20,0.640309873528953,492.661285525048,1.04132467755654,4.42961883544921,26.8578357696533,76.8840623947756
26-ene-20,0.694783023066762,492.171918928115,1.02404714488385,4.31123208999633,27.0997943878173,75.7106904686691
27-ene-20,0.704113386694402,492.17734453686,1.0365624869164,4.21599006652832,27.2928142547607,75.7932677975101
